ARDEL	ARCO	ARCUSN	ARNAME	ARADR1	ARADR2	ARADR3	ARADR4	ARZIP5	ARZIP9	ARZP14	ARTOTD	ARCURD	AR0110	AR1120	AR2130	AROV30	ARPYMT	ARPDAT	ARPREP	ARMTDS	ARYTDS	ARSTMT	ARFINA	ARPBAL	ARFINC	ARMCPD	ARYCPD	ARCLMT	ARAREA	ARTELE	ARSLSN	ARTERM	ARSTAX	ARLSTN	ARGRUP	ARMILS	ARHIBL	ARHIDT	ARINTR	ARSTAT	AREFT	ARGCO	ARGCUS	ARPDA8	ARHID8	ARCUCL	AREDI	ARCLPB	ARWIRE	ARFEIN	ARPMCL	ARPRMV	ARF001
A	10	95	4-C INTERNATIONAL INC.        	7305 124TH AVENUE NORTH       	LARGO, FL 33773               	                              	                              	33773	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	1860.00	30804	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	727	5313013	18	3	    	4-C INTER 	  	0	0.00	0	0	FL	N	10	95	20040308	0	I	 	 	 	0	   	 	                                         
A	10	97	80:20 PROCUREMENT SERVICES    	16 GREENBANK ROAD             	ABERDEEN, SCOTLAND            	UK  AB12 3BQ                  	                              	     	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	-1922.20	52410	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	0	0	18	9	    	80:20     	CD	0	0.00	0	0	XX	N	10	97	20100524	0	I	 	 	 	0	   	 	                                         
A	10	99	VETCO GREY UK LTD             	BROADFOLD ROAD, BRIDGE OF     	DON INDUSTRIAL ESTATE         	ABERDEEN  AB23 8EY            	SCOTLAND                      	AB23 	8EY 	00000	0.00	0.00	0.00	0.00	0.00	0.00	1773.00	120902	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	0	0	18	12	    	VETCO     	CD	0	0.00	0	0	XX	N	10	99	20021209	0	I	 	 	 	0	   	 	                                         
A	10	100	ABC OIL & GAS CO.             	252 S. HANSELMAN STREET       	BAD AXE, MI 48413             	                              	                              	48413	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	-38.40	92900	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	0	0	16	9	    	ABC OIL   	RR	0	0.00	0	0	MI	N	10	100	20000929	0	R	 	 	 	0	   	 	                                         
A	10	101	A TO Z AUTOMOTIVE LUBRICANTS  	1618 MANNING BLVD.            	LEVITTOWN, PA 19057           	                              	                              	19057	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	26216.31	101514	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	40000	215	9434143	26	3	    	ATOZAUTOMO	  	0	0.00	0	0	PA	N	10	101	20141015	0	U	 	 	 	0	   	 	                                         
A	10	102	ABC COMPOUNDING CO., INC.     	2600 DOGWOOD DRIVE SW         	CONYERS, GA  30013            	                              	                              	30013	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	0.01	60922	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	770	9689222	4	9	    	ABC COMPOU	CD	0	0.00	0	0	GA	N	10	102	20220609	0	I	 	 	 	0	   	 	                                         
A	10	105	A TO Z LUBRICANTS, INC.       	1618 MANNING BLVD.            	LEVITTOWN, PA 19057           	                              	                              	19057	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	215	9434143	14	9	    	ATOZLUBRI 	  	0	0.00	0	0	PA	N	10	105	20000000	0	U	 	 	 	0	   	 	                                         
A	10	106	ABATIX CORP.                  	2400 SKYLINE DRIVE,SUITE #400 	MESQUITE, TX  75149-1972      	                              	                              	75149	1972	00000	0.00	0.00	0.00	0.00	0.00	0.00	12182.40	112124	0.00	0.00	12182.40	Y	0.00	0.00	N	0.00	12182.40	100000	214	3810322	47	38	    	ABATIX    	CD	0	12182.40	241114	0	TX	N	10	106	20241121	20241114	U	 	 	 	0	   	 	                                         
A	10	108	AERO OIL COMPANY              	4298 CREEK ROAD               	CINCINNATI, OH  45241         	                              	                              	45241	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	3003.80	112204	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	200000	513	7937090	14	3	    	AERO      	D 	0	0.00	0	0	OH	Y	10	108	20041122	0	B	 	Y	 	0	   	 	                                         
A	10	110	AFD TECHNOLOGIES LLC          	P.O. BOX 1101                 	VIRGINIA BEACH, VA  23451     	                              	                              	23451	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	6735.55	40102	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	757	4911244	5	3	    	AFD TECH  	  	0	0.00	0	0	MA	N	10	110	20020401	0	I	 	 	 	0	   	 	                                         
A	10	111	COMMONWEALTH TRUCKING COMPANY 	525 PLYMOUTH ROAD, SUITE 320  	PLYMOUTH MEETING, PA  19462   	                              	                              	19462	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	-0.02	122713	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	25000	610	9404015	18	3	    	COMMONWEAL	  	0	0.00	0	0	PA	N	10	111	20131227	0	F	 	 	 	233091735	   	 	                                         
A	10	112	ARG RESOURCES, INC            	RD 2, BOX 2016                	KANE  PA  16735               	                              	                              	16735	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	-559.35	80823	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	10000	814	9685414	1	2	    	ARG RESOUR	CD	0	0.00	0	0	PA	N	10	112	20230808	0	B	 	 	 	0	   	 	                                         
