TPDEL	TPFIL1	TPCONO	TPPROD	TPDESC	TPSTCC	TPIND8	TPFIL2	TPPLGR	TPPLCL	TPPLGH	TPPLCH	TPPRGP	TPTOCO	TPCOL	TPICOL	TPSHDS	TPPRCL	TPFIL3	TPSMSG	TPGRAV	TPINGP	TPSGLN	TPABDS	TPSELL	TPFIL4	TPALTD	TPTISQ	TPFIL5	TPVCFC	TPFLCD	TPRPSL	TPDTTM	TPSPRT	TPIRSC	TPOWNB	TPFIL7
 	      	10	0001	HYDROTREATED TEST PROD        	        	0	 	0	0	               	          	K2	0	0	0	PETROLEUM LUBRICATING OIL     	X07	 	 	23.7	H1	0	HN/CS BLND	N	  	                    	0	                                                                  	LU	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0002	DERESIN HYDRO TEST PROD       	        	0	 	0	0	               	          	K2	0	0	0	PETROLEUM LUBRICATING OIL     	X07	 	 	26.0	H1	13000000	AR HN/CS  	N	  	                    	0	                                                                  	LU	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0003	HYDRO TEST RESINS             	        	0	 	0	0	               	          	K2	0	0	0	                              	L10	 	 	16.4	F1	13000000	HN/CS RNS 	N	  	                    	0	                                                                  	LU	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0004	DEWAXED HYDRO TEST PROD       	        	0	 	0	0	               	          	K1	0	0	0	PETROLEUM WAX PARAFFIN        	P10	 	 	41.4	J1	13000000	HN/CS WAX 	N	  	                    	0	                                                                  	LU	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0005	HYDRO TEST WAX                	        	0	 	0	0	               	          	K2	0	0	0	                              	J10	 	 	10.5	F1	0	HN/CS EXT 	N	  	                    	0	                                                                  	LU	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0006	HYDRO TEST RAFFINATE          	        	0	 	0	0	               	          	K2	0	0	0	                              	R10	 	 	26.4	K1	13000000	HN/CS RFN 	N	  	                    	0	                                                                  	LU	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0007	HYDRO TEST EXTRACT            	        	0	 	0	0	               	          	K2	0	0	0	                              	J10	 	 	10.5	F1	0	HN/CS EXT 	N	  	                    	0	                                                                  	LU	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0329	ZERO AEROMATIC MINERAL        	        	0	 	0	0	               	0 AROM MIN	KA	0	0	0	                              	Y10	 	 	55.4	D1	13000000	ZERO AERO 	N	  	                    	0	                                                                  	LU	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0355	DURASYN 164                   	        	20170121	 	0	0	               	DURASYN164	KA	0	0	0	                              	Y11	 	 	41.5	M1	13000000	DURSYN 164	N	  	                    	0	                                                                  	  	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0386	REMNANTS                      	2911415 	0	 	0	0	               	REMNANTS  	KA	0	0	0	PETROLEUM LUBRICATING OIL     	X11	 	 	30.4	M1	13130386	REMNANTS  	Y	  	                    	0	                                                                  	LU	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0392	PUR 80 NEUTRAL                	        	20170101	 	0	0	               	PUR80 NEUT	KA	0	0	0	                              	Y11	 	 	34.7	M1	0	PUR80 NEUT	N	  	                    	0	                                                                  	  	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0393	VANLUBE 622                   	        	0	 	0	0	               	          	KA	0	0	0	                              	Y11	 	 	-15.5	N1	13000000	VAN 622   	N	  	                    	0	                                                                  	LU	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0394	IRGAMET 39                    	        	0	 	0	0	               	          	KA	0	0	0	                              	Y11	 	 	17.2	N1	13000000	IRG 39    	N	  	                    	0	                                                                  	  	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0400	HIGH PERF MOTOR OIL REMNANTS  	        	20171201	 	0	0	               	HP REMNANT	KA	0	0	0	PETROLEUM LUBRICATING OIL     	X11	 	 	29.3	M1	13130400	HP REMNANT	N	  	HI PERF REMNANTS    	0	                                                                  	LU	Y	Y	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0408	MTBE                          	        	0	 	0	0	               	MTBE      	KA	0	0	0	                              	Y10	 	 	59.6	B1	13130408	MTBE      	N	  	                    	999	                                                                  	  	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0522	EMPOL 1016                    	        	20170101	 	0	0	               	EMPOL1016 	KA	0	0	0	                              	Y10	 	 	5.9	T1	0	EMPOL 1016	N	  	                    	0	                                                                  	  	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0528	DAR CHEM 105 OLEIC            	        	20170101	 	0	0	               	          	KA	0	0	0	                              	Y10	 	 	28.8	N1	0	DARCHM 105	N	  	                    	0	                                                                  	  	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0530	OLEIC ACID 105                	        	0	 	0	0	               	INDUSRN105	KA	0	0	0	                              	Y10	 	 	27.1	T1	13000000	INDUST 105	N	  	                    	0	                                                                  	  	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0568	FATTY ACID                    	        	20170101	 	0	0	               	FATTY ACID	KA	0	0	0	                              	Y10	 	 	27.0	T1	0	FATTY ACID	N	  	                    	0	                                                                  	  	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0570	TRITON NP 57                  	        	0	 	0	0	               	          	KA	0	0	0	                              	Y10	 	 	5.6	T1	13130570	TRITON 57 	N	  	                    	0	                                                                  	  	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0580	NORLIG A 58                   	        	0	 	0	0	               	          	KA	0	0	0	                              	Y10	 	 	55.4	T1	13130580	NORLIG A  	Y	  	                    	0	                                                                  	LU	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	0779	LZ 779A                       	        	20170101	 	0	0	               	          	K4	0	0	0	                              	Y11	 	 	27.7	N1	0	LZ 779A   	N	  	                    	0	                                                                  	LU	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	100V	NH MASTERTRAN SSL             	        	20230331	 	0	0	               	          	K4	0	0	0	PETROLEUM LUBRICATING OIL     	V11	 	 	0.1	L1	13000000	MAST SSL  	Y	  	                    	0	                                                                  	  	Y	 	0	   	   	C	                                                                                                                                                                                                                                              
 	      	10	1000	KETJENLUBE 135                	        	0	 	0	0	               	          	KA	0	0	0	                              	Y11	 	 	12.6	N1	0	KET 135   	N	  	                    	0	                                                                  	  	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	1001	KETJENLUBE 1300               	        	20170101	 	0	0	               	          	KA	0	0	0	                              	Y11	 	 	11.4	N1	13000000	KL 1300   	N	  	                    	0	                                                                  	  	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	1003	DB-PC SOLUTION                	        	0	 	0	0	               	          	K5	0	0	0	PETROLEUM LUBRICATING GREASE  	Y11	 	 	23.4	T1	13131003	DBPC      	Y	  	                    	0	                                                                  	LU	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	1004	IRGANOX L 101                 	        	20170101	 	0	0	               	          	KA	0	0	0	                              	Y10	 	 	-8.5	T1	13000000	IRG L 101 	N	  	                    	0	                                                                  	  	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	1005	SOLTEX PB-32                  	        	20170101	 	0	0	               	          	KA	0	0	0	                              	Y11	 	 	26.2	N1	0	PB-32     	N	  	                    	0	                                                                  	  	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	1006	LZ ULTRAZOL 8219              	        	20170101	 	0	0	               	          	K4	0	0	0	                              	Y10	 	 	25.6	T1	0	ULTRA 8219	N	  	                    	0	                                                                  	LU	Y	 	0	   	090	 	                                                                                                                                                                                                                                              
 	      	10	1007	UNISOL LIQUID ORANGE DR       	        	0	 	0	0	               	          	K4	0	0	0	                              	Y11	 	 	19.7	N1	0	ORANGE DYE	N	  	                    	0	                                                                  	  	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	1008	TERGITOL NP 8                 	        	0	 	0	0	               	          	KA	0	0	0	                              	Y10	 	 	2.4	T1	13131008	TRG NP 8  	N	  	                    	0	                                                                  	LU	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	1009	VHVI 4                        	        	0	 	0	0	               	          	K4	0	0	0	                              	Y11	 	 	38.1	M1	13000000	VHVI 4    	N	  	                    	0	                                                                  	LU	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	101V	NH AXLE OIL ADDITIVE          	        	20230331	 	0	0	               	          	KA	0	0	0	PETROLEUM LUBRICATING OIL     	V11	 	 	0.1	L1	13000000	AXEL ADD  	Y	  	CASE                	0	                                                                  	  	Y	 	0	   	   	C	                                                                                                                                                                                                                                              
 	      	10	1010	ACETONE                       	        	0	 	0	0	               	          	K4	0	0	0	                              	Y11	 	 	47.5	N1	13000000	ACETONE   	N	  	                    	0	                                                                  	LU	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
 	      	10	1011	METHYL SALICYLATE             	        	0	 	0	0	               	          	K4	0	0	0	                              	Y11	 	 	-12.0	N1	0	METHYLSALI	N	  	                    	0	                                                                  	LU	Y	 	0	   	   	 	                                                                                                                                                                                                                                              
