CUDEL	CUCONO	CUPROD	CUCNTR	CUUNMS	CUOPER	CUCVFA	CUHAZM	CUIUM	CUFEGL	CUF001
I	10	0386	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	0386	022	GAL	M	1.0000000	N	GAL	0	                          
 	10	0580	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	1003	003	GAL	M	330.0000000	N	TOT	0	                          
 	10	1003	608	GAL	M	5.0000000	N	PAL	0	                          
 	10	1003	646	GAL	M	55.0000000	N	DRM	0	                          
 	10	1128	001	GAL	M	1.0000000	Y	GAL	0	                          
I	10	1159	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	1174	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	1181	601	GAL	M	55.0000000	N	DRM	0	                          
D	10	1730	001	GAL	M	1.0000000	Y	GAL	0	                          
I	10	1905	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	1914	601	GAL	M	55.0000000	N	DRM	0	                          
D	10	1929	646	GAL	M	55.0000000	N	DRM	0	                          
D	10	1933	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	1933	521	GAL	M	5.0000000	N	PAL	0	                          
D	10	1933	624	GAL	M	55.0000000	N	DRM	0	                          
 	10	4101	001	GAL	M	1.0000000	Y	GAL	0	                          
 	10	4102	001	GAL	M	1.0000000	Y	GAL	0	                          
 	10	4104	001	GAL	M	1.0000000	Y	GAL	0	                          
 	10	4106	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4107	001	GAL	M	1.0000000	Y	GAL	0	                          
 	10	4108	001	GAL	M	1.0000000	Y	GAL	0	                          
D	10	4110	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4111	001	GAL	M	1.0000000	Y	GAL	0	                          
 	10	4111	001	LBS	M	1.0000000	Y	LBS	0	                          
D	10	4111	002	GAL	M	1.0000000	Y	GAL	0	                          
I	10	4111	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	4111	610	GAL	M	55.0000000	N	DRM	0	                          
I	10	4111	626	GAL	M	55.0000000	N	DRM	0	                          
 	10	4111	646	GAL	M	55.0000000	N	DRM	0	                          
I	10	4111	982	GAL	M	55.0000000	N	DRM	0	                          
 	10	4112	001	GAL	M	1.0000000	Y	GAL	0	                          
I	10	4113	001	GAL	M	1.0000000	Y	GAL	0	                          
I	10	4113	646	GAL	M	55.0000000	Y	DRM	0	                          
I	10	4114	001	GAL	M	1.0000000	Y	GAL	0	                          
I	10	4114	001	LBS	M	1.0000000	Y	LBS	0	                          
I	10	4114	646	GAL	M	55.0000000	N	DRM	0	                          
 	10	4115	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4115	001	LBS	M	1.0000000	N	LBS	0	                          
 	10	4115	646	GAL	M	55.0000000	N	DRM	0	                          
I	10	4116	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4116	001	LBS	M	1.0000000	N	LBS	0	                          
I	10	4116	646	GAL	M	55.0000000	N	DRM	0	                          
I	10	4116	646	LBS	M	6.7299000	N	DRM	0	                          
 	10	4117	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4117	001	LBS	M	1.0000000	N	LBS	0	                          
 	10	4117	646	GAL	M	55.0000000	N	DRM	0	                          
 	10	4118	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4118	001	LBS	M	1.0000000	N	LBS	0	                          
 	10	4118	646	GAL	M	55.0000000	N	DRM	0	                          
 	10	4119	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4119	646	GAL	M	55.0000000	N	DRM	0	                          
I	10	4126	001	GAL	M	1.0000000	Y	GAL	0	                          
 	10	4127	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4127	001	LBS	M	1.0000000	N	LBS	0	                          
D	10	4127	002	GAL	M	1.0000000	N	GAL	0	                          
 	10	4127	646	GAL	M	55.0000000	N	DRM	0	                          
 	10	4127	646	LBS	M	377.0000000	N	DRM	0	                          
I	10	4127	982	GAL	M	55.0000000	N	DRM	0	                          
 	10	4129	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4129	001	LBS	M	1.0000000	N	LBS	0	                          
 	10	4129	646	GAL	M	55.0000000	N	DRM	0	                          
 	10	4129	646	LBS	M	378.0000000	N	DRM	0	                          
 	10	4131	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4131	646	GAL	M	52.0000000	N	DRM	0	                          
I	10	4132	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4132	646	GAL	M	55.0000000	N	DRM	0	                          
I	10	4135	001	GAL	M	1.0000000	Y	GAL	0	                          
D	10	4135	002	GAL	M	1.0000000	Y	GAL	0	                          
I	10	4135	646	GAL	M	55.0000000	Y	DRM	0	                          
 	10	4192	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4192	646	GAL	M	54.0000000	N	DRM	0	                          
 	10	4193	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4193	646	GAL	M	55.0000000	N	DRM	0	                          
 	10	4194	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4194	001	LBS	M	1.0000000	N	LBS	0	                          
