WTDEL	WTCONO	WTPROD	WTCNTR	WTGROS	WTTARE	WTNET	WTGAL	WTF001
 	10	1003	608	43.00	8.20	34.80	5.0000000	                        
 	10	1003	646	456.00	40.00	416.00	55.0000000	                        
 	10	1159	601	442.00	37.00	405.00	55.0000000	                        
 	10	1174	601	442.00	37.00	405.00	55.0000000	                        
 	10	4111	610	392.00	37.00	355.00	55.0000000	                        
 	10	4111	626	392.00	37.00	355.00	55.0000000	                        
 	10	4111	646	392.00	37.00	355.00	55.0000000	                        
I	10	4111	982	392.00	37.00	355.00	55.0000000	                        
I	10	4113	646	398.00	37.00	361.00	55.0000000	                        
I	10	4114	646	398.17	35.00	363.17	55.0000000	                        
I	10	4116	646	406.00	37.00	369.00	55.0000000	                        
 	10	4117	646	411.00	37.00	374.00	55.0000000	                        
 	10	4119	646	417.00	37.00	380.00	55.0000000	                        
 	10	4127	646	442.00	37.00	405.00	55.0000000	                        
I	10	4127	982	442.00	37.00	405.00	55.0000000	                        
I	10	4132	646	442.00	42.00	400.00	55.0000000	                        
 	10	4192	646	408.00	37.00	371.00	54.0000000	                        
I	10	4221	646	398.00	37.00	361.00	55.0000000	                        
 	10	4305	646	413.20	37.00	376.20	52.0000000	                        
I	10	4306	982	429.28	35.00	394.28	55.0000000	                        
 	10	4311	646	426.00	37.00	389.00	55.0000000	                        
 	10	4312	646	453.00	37.00	416.00	55.0000000	                        
 	10	4313	646	455.00	37.00	418.00	55.0000000	                        
 	10	4318	646	426.08	37.00	389.08	52.0000000	                        
 	10	4320	646	421.00	37.00	384.00	55.0000000	                        
 	10	4392	646	430.00	35.00	395.00	55.2000000	                        
 	10	4421	608	43.00	3.00	40.00	5.0000000	                        
I	10	4421	646	446.00	34.00	412.00	50.2300000	                        
 	10	4421	648	449.00	37.00	412.00	54.0000000	                        
 	10	4425	608	43.00	3.00	40.00	4.5000000	                        
I	10	4448	646	442.00	35.00	407.00	52.2000000	                        
I	10	4456	646	388.00	37.00	351.00	55.0000000	                        
I	10	4457	646	377.00	37.00	340.00	55.0000000	                        
 	10	4459	646	438.00	42.00	396.00	54.3000000	                        
 	10	4554	603	479.00	37.00	442.00	55.0000000	                        
 	10	4554	645	447.00	42.00	405.00	51.0000000	                        
 	10	4554	646	447.00	37.00	410.00	51.0000000	                        
 	10	4555	646	442.00	37.00	405.00	53.0000000	                        
 	10	4570	646	453.01	37.00	416.01	55.0000000	                        
 	10	4571	646	435.00	37.00	398.00	52.0000000	                        
 	10	4577	646	432.00	37.00	395.00	50.0000000	                        
 	10	4580	646	432.00	37.00	395.00	54.0000000	                        
I	10	4585	648	394.00	40.00	354.00	47.7700000	                        
 	10	4586	646	497.00	37.00	460.00	55.0000000	                        
 	10	4590	645	414.00	37.00	377.00	52.0000000	                        
 	10	4590	646	414.00	37.00	377.00	52.0000000	                        
I	10	4591	608	37.50	3.50	34.00	5.0000000	                        
I	10	4591	646	442.00	37.00	405.00	55.0000000	                        
 	10	4608	646	431.59	37.00	394.59	52.0000000	                        
I	10	4612	646	454.00	37.00	417.00	50.0000000	                        
 	10	4614	628	121.00	7.20	113.80	16.0000000	                        
 	10	4614	646	440.00	42.00	398.00	53.0000000	                        
 	10	4614	648	440.00	42.00	398.00	53.0000000	                        
 	10	4614	649	440.00	42.00	398.00	53.0000000	                        
 	10	4614	673	120.00	7.30	112.70	16.0000000	                        
 	10	4615	646	440.00	42.00	398.00	53.0000000	                        
 	10	4615	673	121.00	7.30	113.70	16.0000000	                        
 	10	4618	646	434.00	37.00	397.00	51.0000000	                        
I	10	4670	601	429.02	35.00	394.02	55.0000000	                        
 	10	4670	646	427.85	35.00	392.85	55.0000000	                        
I	10	4670	982	430.00	37.00	393.00	55.0000000	                        
I	10	4771	646	438.00	42.00	396.00	55.0000000	                        
I	10	4772	646	438.00	36.00	402.00	55.0000000	                        
 	10	5224	601	436.10	35.00	401.10	55.0000000	                        
 	10	5265	025	24.29	0.00	24.29	3.7800000	                        
I	10	5623	011	24.29	0.00	24.29	3.0000000	                        
 	10	5930	601	442.00	37.00	405.00	55.0000000	                        
 	10	6003	601	442.00	37.00	405.00	55.0000000	                        
 	10	6753	009	24.50	0.00	24.50	3.0000000	                        
 	10	6753	013	24.50	0.00	24.50	3.0000000	                        
 	10	6818	982	43.61	35.00	8.61	55.0000000	                        
I	10	6844	034	24.29	2.80	21.49	3.0000000	                        
I	10	6844	127	60.00	2.80	57.20	6.0000000	                        
I	10	6845	034	24.29	2.80	21.49	3.0000000	                        
I	10	6845	127	60.00	2.80	57.20	6.0000000	                        
I	10	6846	034	24.29	2.80	21.49	3.0000000	                        
I	10	6846	127	60.00	2.80	57.20	6.0000000	                        
I	10	6847	034	24.29	2.80	21.49	3.0000000	                        
I	10	6847	127	60.00	2.80	57.20	6.0000000	                        
I	10	6858	034	24.29	2.80	21.49	3.0000000	                        
I	10	6858	127	60.00	2.80	57.20	6.0000000	                        
I	10	6859	034	24.29	2.80	21.49	3.0000000	                        
I	10	6859	127	60.00	2.80	57.20	6.0000000	                        
 	10	6860	034	24.29	2.80	21.49	3.0000000	                        
 	10	6860	127	60.00	2.80	57.20	6.0000000	                        
I	10	6861	034	24.29	2.80	21.49	3.0000000	                        
I	10	6861	127	60.00	2.80	57.20	6.0000000	                        
 	10	6862	034	24.29	2.80	21.49	3.0000000	                        
 	10	6862	127	60.00	2.80	57.20	6.0000000	                        
I	10	6899	982	436.10	35.00	401.10	55.0000000	                        
 	10	6901	628	119.50	7.20	112.30	16.0000000	                        
 	10	6902	628	119.50	7.20	112.30	16.0000000	                        
 	10	6902	648	425.00	42.00	383.00	53.0000000	                        
I	10	6951	982	436.10	35.00	401.10	55.0000000	                        
I	10	6952	982	436.10	35.00	401.10	55.0000000	                        
 	10	6953	982	436.10	35.00	401.10	55.0000000	                        
 	10	6955	982	436.10	35.00	401.10	55.0000000	                        
I	10	6956	982	436.10	35.00	401.10	55.0000000	                        
 	10	6957	982	436.10	35.00	401.10	55.0000000	                        
I	10	6958	982	442.00	35.00	407.00	55.0000000	                        
I	10	6959	982	442.00	35.00	407.00	55.0000000	                        
