UCDEL	UCCONO	UCPROD	UCFUNM	UCTUNM	UCOPER	UCCVFA	UCF001
 	10	0329	GAL	LBS	M	6.4300000	                                      
 	10	0329	LBS	GAL	D	6.4300000	                                      
 	10	0355	GAL	LBS	M	6.8100000	                                      
 	10	0355	LBS	GAL	D	6.8100000	                                      
I	10	0386	GAL	LBS	M	7.3280000	                                      
I	10	0386	LBS	GAL	D	7.3280000	                                      
 	10	0392	GAL	LBS	M	7.0890000	                                      
 	10	0392	LBS	GAL	D	7.0890000	                                      
 	10	0408	GAL	LBS	M	6.1640000	                                      
 	10	0408	LBS	GAL	D	6.1640000	                                      
 	10	0522	GAL	LBS	M	6.4300000	                                      
I	10	0528	GAL	LBS	M	7.3510000	                                      
I	10	0528	LBS	GAL	D	7.3510000	                                      
I	10	0530	GAL	LBS	M	7.4530000	                                      
I	10	0530	LBS	GAL	D	7.4530000	                                      
I	10	0568	GAL	LBS	M	7.4340000	                                      
I	10	0568	LBS	GAL	D	7.4340000	                                      
I	10	1153	GAL	LBS	M	7.7620000	                                      
I	10	1153	LBS	GAL	D	7.7620000	                                      
I	10	1156	GAL	LBS	M	7.4100000	                                      
I	10	1156	LBS	GAL	D	7.4100000	                                      
I	10	1172	GAL	LBS	M	8.2990000	                                      
I	10	1172	LBS	GAL	D	8.2990000	                                      
 	10	1176	GAL	LBS	M	8.0210000	                                      
 	10	1176	LBS	GAL	D	8.0210000	                                      
 	10	1177	GAL	LBS	M	8.0210000	                                      
 	10	1177	LBS	GAL	D	8.0210000	                                      
 	10	1178	GAL	LBS	M	8.0210000	                                      
 	10	1178	LBS	GAL	D	8.0210000	                                      
 	10	1179	GAL	LBS	M	8.0210000	                                      
 	10	1179	LBS	GAL	D	8.0210000	                                      
I	10	1215	GAL	LBS	M	7.2190000	                                      
I	10	1215	LBS	GAL	D	7.2910000	                                      
I	10	1220	GAL	LBS	M	7.2960000	                                      
I	10	1220	LBS	GAL	D	7.2960000	                                      
 	10	1224	GAL	LBS	M	7.3050000	                                      
 	10	1224	LBS	GAL	D	7.3050000	                                      
I	10	1303	GAL	LBS	M	7.2730000	                                      
I	10	1303	LBS	GAL	D	7.2730000	                                      
I	10	1730	GAL	LBS	M	6.3100000	                                      
I	10	1730	LBS	GAL	D	6.3100000	                                      
I	10	1905	GAL	LBS	M	6.9430000	                                      
I	10	1905	LBS	GAL	D	6.9430000	                                      
I	10	1914	GAL	LBS	M	7.4100000	                                      
I	10	1914	LBS	GAL	D	7.4100000	                                      
I	10	1920	GAL	LBS	M	7.4290000	                                      
I	10	1920	LBS	GAL	D	7.4290000	                                      
 	10	1927	GAL	LBS	M	7.1800000	                                      
 	10	1927	LBS	GAL	D	7.1800000	                                      
I	10	1928	GAL	LBS	M	7.3320000	                                      
I	10	1928	LBS	GAL	D	7.3320000	                                      
