TCDEL	TCCNTR	TCCNTA	TCCNSM	TCDESC	TCDESS	TCDESL	TCFIL2	TCCNTY	TCFRTB	TCFIL3	TCDES2	TCFIL4	TCCTRS	TCIUM	TPFIL5
 	1	001	BULK  	BULK    BULKB                 	BULK    	BULKB                 	                                                                                                          	B	  	                            	ARG                           	                	 	GAL	                                                                                                                                                                                                                                                            
 	2	002	BULK  	BULK    BULK                  	BULK    	BULK                  	                                                                                                          	B	  	                            	GULF                          	                	 	GAL	                                                                                                                                                                                                                                                            
 	3	003	TOTE  	330 TOTE330 GAL PLASTIC TOTE  	330 TOTE	330 GAL PLASTIC TOTE  	                                                                                                          	P	  	                            	BRAD PENN                     	                	 	TOT	                                                                                                                                                                                                                                                            
 	4	004	TOTE  	220 TOTE220 GALLON LIQUID PACK	220 TOTE	220 GALLON LIQUID PACK	                                                                                                          	P	  	                            	BRAD PENN                     	                	 	TOT	                                                                                                                                                                                                                                                            
 	5	005	TOTE  	260 TOTE260(275) GAL LIQUID PK	260 TOTE	260(275) GAL LIQUID PK	                                                                                                          	P	  	                            	BRAD PENN                     	                	 	TOT	                                                                                                                                                                                                                                                            
 	8	008	QUTLIT	12/1 Q5712/1 QT CASE          	12/1 Q57	12/1 QT CASE          	                                                                                                          	P	  	                            	BRAD PENN BILINGUAL           	                	P	CAS	                                                                                                                                                                                                                                                            
 	9	009	QUTLIT	12/1 QT 12/1 QT CASE          	12/1 QT 	12/1 QT CASE          	                                                                                                          	P	  	                            	BRAD PENN                     	                	P	CAS	                                                                                                                                                                                                                                                            
 	11	011	QUTLIT	12/1 QT 12/1 QT CASE          	12/1 QT 	12/1 QT CASE          	                                                                                                          	P	  	                            	MEGA POWER                    	                	P	CAS	                                                                                                                                                                                                                                                            
 	13	013	QUTLIT	12/1 QT 12/1 QT CASE          	12/1 QT 	12/1 QT CASE          	                                                                                                          	P	  	                            	UNBRANDED                     	                	P	CAS	                                                                                                                                                                                                                                                            
 	14	014	QUTLIT	12/1 QT 12/1 QT CASE SPOUT    	12/1 QT 	12/1 QT CASE SPOUT    	                                                                                                          	P	  	                            	AMTRACK                       	                	P	CAS	                                                                                                                                                                                                                                                            
 	15	015	QUTLIT	12/1 QT 12/1 QT CASE          	12/1 QT 	12/1 QT CASE          	                                                                                                          	P	  	                            	AMTRACK                       	                	P	CAS	                                                                                                                                                                                                                                                            
 	16	016	QUTLIT	12/1 QT 12/1 QT CASE          	12/1 QT 	12/1 QT CASE          	                                                                                                          	P	  	                            	PATHMARK                      	                	P	CAS	                                                                                                                                                                                                                                                            
 	17	017	QUTLIT	12/1 QT 12/1 QT CASE          	12/1 QT 	12/1 QT CASE          	                                                                                                          	P	  	                            	UNITED                        	                	P	CAS	                                                                                                                                                                                                                                                            
 	18	018	QUTLIT	12/1 QT 12/1 QT CASE SPOUT    	12/1 QT 	12/1 QT CASE SPOUT    	                                                                                                          	P	  	                            	UNOCO                         	                	P	CAS	                                                                                                                                                                                                                                                            
 	19	019	QUTLIT	12/1 QT 12/1 QT CASE          	12/1 QT 	12/1 QT CASE          	                                                                                                          	P	  	                            	DOUBLE X                      	                	P	CAS	                                                                                                                                                                                                                                                            
 	20	020	QUTLIT	12/1 QT 12/1 QT CASE          	12/1 QT 	12/1 QT CASE          	                                                                                                          	P	  	                            	BRAD PENN                     	                	P	CAS	                                                                                                                                                                                                                                                            
 	21	021	BULK  	BULK    BULK                  	BULK    	BULK                  	                                                                                                          	B	  	                            	SERVICE PRO                   	                	 	   	                                                                                                                                                                                                                                                            
 	22	022	BULK  	BULK    BULK UNBRANDED        	BULK    	BULK UNBRANDED        	                                                                                                          	B	  	                            	ARG                           	                	 	GAL	                                                                                                                                                                                                                                                            
 	23	023	QUTLIT	12/1 QT 12/1 QT CASE SPOUT    	12/1 QT 	12/1 QT CASE SPOUT    	                                                                                                          	P	  	                            	BRAD PENN                     	                	P	CAS	                                                                                                                                                                                                                                                            
 	24	024	QUTLIT	12/1 QT 12/1 AT CASE          	12/1 QT 	12/1 AT CASE          	                                                                                                          	P	  	                            	SECURITY                      	                	P	CAS	                                                                                                                                                                                                                                                            
 	25	025	QUTLIT	12/1 LI 12/1 LI CASE          	12/1 LI 	12/1 LI CASE          	                                                                                                          	P	  	                            	MEGA POWER                    	                	P	CAS	                                                                                                                                                                                                                                                            
 	27	027	QUTLIT	12/1 QT 12/1 QT CASE          	12/1 QT 	12/1 QT CASE          	                                                                                                          	P	  	                            	NOCO                          	                	P	CAS	                                                                                                                                                                                                                                                            
 	28	028	QUTLIT	12/1 QT 12/1 QT CASE          	12/1 QT 	12/1 QT CASE          	                                                                                                          	P	  	                            	FLEETLINE                     	                	P	CAS	                                                                                                                                                                                                                                                            
